iter	Passed	Remaining
0	387	40321
1	791	40754
2	1616	54968
3	2125	53679
4	2455	49101
5	2669	44054
6	3096	43344
7	3341	40520
8	3525	37607
9	3772	35839
10	4052	34628
11	4204	32586
12	4478	31692
13	5030	32698
14	5549	33296
15	6175	34352
16	6481	33549
17	6742	32590
18	7089	32087
19	7231	30735
20	7451	29804
21	7641	28827
22	7862	28033
23	8054	27184
24	8499	27199
25	9118	27705
26	10024	28958
27	10221	28102828	10484	27472929	10793	26983030	11055	26393131	11345	25880
32	11509	25113333	11823	24683434	12114	24223535	12813	24558
36	13771	25310
37	14486	25542
38	14722	24914
39	14794	24041
40	14973	23372
41	15255	22882
42	15478	22317
43	15714	21786
44	16015	21354
45	16394	21027
46	16821	20758
47	17409	20674
48	18177	20774
49	18522	20375
50	18769	19873
51	18853	19216
52	19012	18653
53	19132	18069
54	19429	17662
55	19631	17177
56	19886	16746
57	20046	16244
58	20232	15774
59	20451	15338
60	21276	15347
61	21640	15009
21363	14242
6231	8963
67	16740	8862
68	17063	8655
69	17351	8427
70	17552	8157
71	17785	7904
72	17997	7642
73	18082	7330
74	18154	7019
75	18386	6774
76	18564	6509
77	18942	6314
78	19507	6173
79	19863	5959
80	20032	5688
81	20495	5498
82	20879	5282
83	21009	5002
84	21185	4735
85	21363	4471
86	21496	4200
87	21679	3941
88	21901	3691
89	22039	3428
90	22230	3175
91	22353	2915
92	22581	2670
93	23313	2480
94	23871	2261
